Timestamp_s;Angle_deg;AngleDifference;NormalizedDegrees;;;;
5,338666667;-163,6682759;0,330678;2,211724135;;;;
5,35535;-163,1166473;0,55162853;2,763352665;;;;
5,372033333;-162,6198338;0,496813495;3,26016616;;;;
5,388716667;-162,0472363;0,572597563;3,832763722;;;;
5,4054;-161,6410114;0,406224835;4,238988557;;;;
5,422083333;-161,3489239;0,2920875;4,531076057;;;;
5,438766667;-160,7914553;0,557468683;5,08854474;;;;
5,45545;-160,4195411;0,371914149;5,460458889;;;;
5,472133333;-160,1018128;0,317728359;5,778187247;;;;
5,488816667;-159,5113601;0,590452643;6,36863989;;;;
5,5055;-158,8054836;0,705876531;7,074516422;;;;
5,522183333;-158,3919616;0,413521982;7,488038404;;;;
5,538866667;-157,7650787;0,626882885;8,114921288;;;;
5,55555;-157,0561643;0,708914453;8,823835741;;;;
5,572233333;-156,3836137;0,672550604;9,496386345;;;;
5,588916667;-155,9802357;0,403377922;9,899764267;;;;
5,6056;-155,3410706;0,639165096;10,53892936;;;;
5,622283333;-154,8454677;0,495602889;11,03453225;;;;
5,638966667;-154,1728861;0,672581672;11,70711392;;;;
5,65565;-153,3921125;0,780773526;12,48788745;;;;
5,672333333;-152,6621766;0,729935903;13,21782335;;;;
5,689016667;-151,888664;0,773512626;13,99133598;;;;
5,7057;-151,1858336;0,702830429;14,69416641;;;;
5,722383333;-150,4079126;0,777920972;15,47208738;;;;
5,739066667;-149,7359677;0,671944966;16,14403235;;;;
5,75575;-148,9319915;0,803976141;16,94800849;;;;
5,772433333;-148,3049486;0,627042944;17,57505143;;;;
5,789116667;-147,5663419;0,738606713;18,31365814;;;;
5,8058;-146,8761648;0,690177099;19,00383524;;;;
5,822483333;-146,0450311;0,831133627;19,83496887;;;;
5,839166667;-145,178027;0,867004086;20,70197295;;;;
5,85585;-144,4983453;0,679681733;21,38165469;;;;
5,872533333;-143,9328226;0,565522664;21,94717735;;;;
5,889216667;-143,6044463;0,328376351;22,2755537;;;;
5,9059;-143,2216467;0,382799575;22,65835328;;;;
5,922583333;-142,4279283;0,793718444;23,45207172;;;;
5,939266667;-141,4960437;0,931884609;24,38395633;;;;
5,95595;-140,6115771;0,884466566;25,2684229;;;;
5,972633333;-139,2802337;1,331343446;26,59976634;;;;
5,989316667;-138,0400173;1,240216397;27,83998274;;;;
6,006;-137,0178088;1,022208442;28,86219118;;;;
6,022683333;-136,1336595;0,884149275;29,74634046;;;;
6,039366667;-135,3747568;0,758902727;30,50524318;;;;
6,05605;-134,4247399;0,950016922;31,45526011;;;;
6,072733333;-133,4351114;0,98962852;32,44488863;;;;
6,089416667;-132,52989;0,905221363;33,35010999;;;;
6,1061;-131,3881351;1,14175494;34,49186493;;;;
6,122783333;-130,1119535;1,276181523;35,76804645;;;;
6,139466667;-129,0216326;1,090320918;36,85836737;;;;
6,15615;-128,1340141;0,887618535;37,74598591;;;;
6,172833333;-127,1532254;0,98078865;38,72677455;;;;
6,189516667;-126,0646676;1,088557888;39,81533244;;;;
6,2062;-124,5169193;1,547748242;41,36308068;;;;
6,222883333;-123,4090394;1,107879892;42,47096058;;;;
6,239566667;-122,3737947;1,03524475;43,50620533;;;;
6,25625;-121,4952638;0,878530908;44,38473623;;;;
6,272933333;-120,2336543;1,261609449;45,64634568;;;;
6,289616667;-119,0576233;1,176031025;46,82237671;;;;
6,3063;-118,6127247;0,444898612;47,26727532;;;;
6,322983333;-117,9737593;0,638965422;47,90624074;;;;
6,339666667;-116,6952398;1,278519452;49,18476019;;;;
6,35635;-114,8331094;1,862130452;51,04689065;;;;
6,373033333;-113,2008065;1,632302829;52,67919347;;;;
6,389716667;-111,5368956;1,663910944;54,34310442;;;;
6,4064;-109,7554839;1,781411656;56,12451607;;;;
6,423083333;-108,4038393;1,351644637;57,47616071;;;;
6,439766667;-107,1314614;1,272377848;58,74853856;;;;
6,45645;-105,5695188;1,56194261;60,31048117;;;;
6,473133333;-104,1442277;1,425291092;61,73577226;;;;
6,489816667;-102,6390973;1,505130396;63,24090266;;;;
6,5065;-101,2273415;1,411755851;64,65265851;;;;
6,523183333;-100,1113999;1,115941608;65,76860012;;;;
6,539866667;-98,35793098;1,753468902;67,52206902;;;;
6,55655;-96,72120153;1,636729449;69,15879847;;;;
6,573233333;-95,60370224;1,117499292;70,27629776;;;;
6,589916667;-94,38105993;1,222642309;71,49894007;;;;
6,6066;-93,24330209;1,137757843;72,63669791;;;;
6,623283333;-92,19091236;1,052389724;73,68908764;;;;
6,639966667;-91,06627553;1,124636831;74,81372447;;;;
6,65665;-89,48927414;1,577001391;76,39072586;;;;
6,673333333;-87,68007601;1,809198134;78,19992399;;;;
6,690016667;-86,26369752;1,416378486;79,61630248;;;;
6,7067;-85,304021;0,959676524;80,575979;;;;
6,723383333;-84,04064497;1,263376027;81,83935503;;;;
6,740066667;-82,6591724;1,38147257;83,2208276;;;;
6,75675;-81,14240338;1,516769025;84,73759662;;;;
6,773433333;-80,05184897;1,090554411;85,82815103;;;;
6,790116667;-78,50056443;1,551284541;87,37943557;;;;
6,8068;-76,99498396;1,505580461;88,88501604;;;;
6,823483333;-75,93436147;1,060622499;89,94563853;;;;
6,840166667;-74,86419726;1,070164211;91,01580274;;;;
6,85685;-73,47173256;1,392464695;92,40826744;;;;
6,873533333;-72,13729776;1,334434803;93,74270224;;;;
6,890216667;-70,77171855;1,365579205;95,10828145;;;;
6,9069;-69,08490034;1,686818216;96,79509966;;;;
6,923583333;-67,84056823;1,24433211;98,03943177;;;;
6,940266667;-66,45313273;1,387435497;99,42686727;;;;
6,95695;-64,73155687;1,721575863;101,1484431;;;;
6,973633333;-63,09805143;1,633505436;102,7819486;;;;
6,990316667;-61,66421598;1,43383545;104,215784;;;;
7,007;-60,09702171;1,567194266;105,7829783;;;;
7,023683333;-58,40762028;1,689401435;107,4723797;;;;
7,040366667;-56,71321751;1,694402769;109,1667825;;;;
7,05705;-54,74518272;1,968034786;111,1348173;;;;
7,073733333;-53,25820702;1,4869757;112,621793;;;;
7,090416667;-51,97194278;1,286264242;113,9080572;;;;
7,1071;-50,30711038;1,664832403;115,5728896;;;;
7,123783333;-48,76141809;1,545692293;117,1185819;;;;
7,140466667;-47,33636731;1,425050779;118,5436327;;;;
7,15715;-45,10675957;2,229607737;120,7732404;;;;
7,173833333;-43,07447966;2,032279907;122,8055203;;;;
7,190516667;-41,13391217;1,940567496;124,7460878;;;;
7,2072;-38,38285692;2,751055241;127,4971431;;;;
7,223883333;-36,15489805;2,227958872;129,7251019;;;;
7,240566667;-33,98139312;2,173504933;131,8986069;;;;
7,25725;-31,58434129;2,397051827;134,2956587;;;;
7,273933333;-29,85264032;1,731700968;136,0273597;;;;
7,290616667;-28,08972422;1,762916104;137,7902758;;;;
7,3073;-25,96252659;2,127197628;139,9174734;;;;
7,323983333;-24,39545265;1,567073948;141,4845474;;;;
7,340666667;-23,37840643;1,017046211;142,5015936;;;;
7,35735;-21,71894149;1,659464941;144,1610585;;;;
7,374033333;-20,10626185;1,612679646;145,7737382;;;;
7,390716667;-18,26498453;1,841277317;147,6150155;;;;
7,4074;-16,56064725;1,704337279;149,3193527;;;;
7,424083333;-14,92143483;1,639212418;150,9585652;;;;
7,440766667;-13,23667076;1,684764071;152,6433292;;;;
7,45745;-11,10024842;2,136422344;154,7797516;;;;
7,474133333;-9,674531003;1,425717416;156,205469;;;;
7,490816667;-8,134660153;1,53987085;157,7453398;;;;
7,5075;-6,872996165;1,261663988;159,0070038;;;;
7,524183333;-5,275960289;1,597035876;160,6040397;;;;
7,540866667;-3,888054883;1,387905406;161,9919451;;;;
7,55755;-2,043726856;1,844328026;163,8362731;;;;
7,574233333;-0,314671258;1,729055598;165,5653287;;;;
7,590916667;1,265724644;1,580395902;167,1457246;;;;
7,6076;3,412022148;2,146297504;169,2920221;;;;
7,624283333;5,299784301;1,887762154;171,1797843;;;;
7,640966667;7,364699658;2,064915357;173,2446997;;;;
7,65765;9,514362137;2,149662479;175,3943621;;;;
7,674333333;11,02611733;1,511755191;176,9061173;;;;
7,691016667;12,65967473;1,633557406;178,5396747;;;;
7,7077;14,51396469;1,854289957;180,3939647;;;;
7,724383333;16,44977274;1,935808044;182,3297727;;;;
7,741066667;18,26848096;1,818708229;184,148481;;;;
7,75775;20,37576609;2,107285126;186,2557661;;;;
7,774433333;22,5698275;2,194061409;188,4498275;;;;
7,791116667;24,60450866;2,034681156;190,4845087;;;;
7,8078;26,88108897;2,276580319;192,761089;;;;
